epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,848.29,1.37836,0.71896,0.99997,0.89964,0.63448,0.7264,0.41935,1.41499,0.7224,1.0406,0.00123566,0.00123566,0.00123566
43,868.485,1.35813,0.71319,0.98749,0.88907,0.63824,0.71989,0.4221,1.39485,0.7089,1.03672,0.00123094,0.00123094,0.00123094
44,888.646,1.34928,0.71019,0.9928,0.79954,0.68856,0.76245,0.45135,1.39109,0.71077,1.03664,0.00122622,0.00122622,0.00122622
45,908.689,1.37299,0.72348,0.99831,0.88477,0.65846,0.74488,0.44215,1.37732,0.69989,1.02907,0.00122151,0.00122151,0.00122151
46,928.76,1.35482,0.71364,0.99584,0.89438,0.63125,0.74698,0.44657,1.39444,0.71391,1.03552,0.00121679,0.00121679,0.00121679
47,949.012,1.34922,0.71824,0.98771,0.87988,0.62806,0.71872,0.43296,1.39679,0.72759,1.03889,0.00121208,0.00121208,0.00121208
48,969.028,1.34359,0.70538,0.98938,0.87841,0.6709,0.76384,0.44178,1.39143,0.71819,1.02959,0.00120736,0.00120736,0.00120736
49,989.11,1.35759,0.70753,0.98864,0.81546,0.64318,0.72622,0.43121,1.38846,0.7175,1.03314,0.00120265,0.00120265,0.00120265
50,1009.34,1.36451,0.70976,0.99535,0.8418,0.61408,0.70497,0.41352,1.40213,0.73626,1.03762,0.00119793,0.00119793,0.00119793
51,1029.37,1.34063,0.71536,0.99349,0.87949,0.63926,0.74058,0.42942,1.39004,0.70874,1.0327,0.00119322,0.00119322,0.00119322
52,1049.35,1.36741,0.70832,0.99143,0.90343,0.6439,0.74181,0.43641,1.39632,0.71811,1.03502,0.0011885,0.0011885,0.0011885
53,1069.29,1.35873,0.70401,0.99487,0.87442,0.64756,0.76857,0.45905,1.39225,0.72187,1.03392,0.00118378,0.00118378,0.00118378
54,1089.27,1.34205,0.69836,0.98305,0.92582,0.61696,0.70321,0.41126,1.41583,0.70874,1.04858,0.00117907,0.00117907,0.00117907
55,1109.26,1.34717,0.68659,0.9866,0.9285,0.64083,0.75608,0.44547,1.39114,0.70678,1.03507,0.00117435,0.00117435,0.00117435
56,1129.15,1.34521,0.7075,0.98849,0.85951,0.63388,0.73937,0.44199,1.39864,0.71296,1.03977,0.00116964,0.00116964,0.00116964
57,1149.1,1.3325,0.69853,0.98759,0.87522,0.66187,0.75584,0.45196,1.37421,0.69733,1.02737,0.00116492,0.00116492,0.00116492
58,1169.04,1.35589,0.70495,0.98936,0.86297,0.6683,0.75136,0.45628,1.38208,0.69066,1.03558,0.00116021,0.00116021,0.00116021
59,1189,1.34134,0.6914,0.99125,0.82956,0.66828,0.73866,0.43424,1.38033,0.71607,1.0317,0.00115549,0.00115549,0.00115549
60,1209.09,1.35181,0.70093,0.99193,0.81721,0.66794,0.75718,0.44477,1.39379,0.69978,1.03677,0.00115077,0.00115077,0.00115077
61,1229.16,1.32346,0.68809,0.98221,0.8852,0.61744,0.75494,0.44326,1.38044,0.70451,1.03153,0.00114606,0.00114606,0.00114606
62,1249.16,1.32876,0.68247,0.98074,0.92483,0.65568,0.75925,0.45382,1.39567,0.70979,1.03339,0.00114134,0.00114134,0.00114134
63,1269.22,1.32619,0.68798,0.97853,0.90871,0.64859,0.74652,0.45117,1.36603,0.6996,1.02435,0.00113663,0.00113663,0.00113663
