epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,915.9,1.38526,0.73579,1.01043,0.81911,0.63383,0.70624,0.41743,1.42062,0.73895,1.05521,0.00123566,0.00123566,0.00123566
43,937.861,1.36133,0.72787,0.99891,0.83987,0.60789,0.71117,0.41298,1.40084,0.73343,1.05505,0.00123094,0.00123094,0.00123094
44,959.658,1.3625,0.73062,1.00856,0.77848,0.70422,0.73919,0.45241,1.41519,0.72759,1.05926,0.00122622,0.00122622,0.00122622
45,981.419,1.38565,0.73555,1.0139,0.86599,0.63125,0.7422,0.43693,1.40583,0.74162,1.05292,0.00122151,0.00122151,0.00122151
46,1003.17,1.37722,0.73636,1.01077,0.87834,0.61403,0.72048,0.43078,1.39416,0.72972,1.05163,0.00121679,0.00121679,0.00121679
47,1024.98,1.36527,0.72525,1.00578,0.78127,0.68553,0.73321,0.45234,1.38395,0.72549,1.04487,0.00121208,0.00121208,0.00121208
48,1046.7,1.35699,0.71984,1.00787,0.6911,0.66026,0.71757,0.41339,1.38966,0.73244,1.0458,0.00120736,0.00120736,0.00120736
49,1068.48,1.36605,0.72036,1.00097,0.76797,0.71599,0.75624,0.45099,1.39793,0.72738,1.05329,0.00120265,0.00120265,0.00120265
50,1090.21,1.37922,0.72212,1.00968,0.81238,0.67887,0.72825,0.43051,1.38862,0.73118,1.05575,0.00119793,0.00119793,0.00119793
51,1112.09,1.3653,0.72808,1.01262,0.86633,0.63803,0.7367,0.4311,1.41658,0.7251,1.05843,0.00119322,0.00119322,0.00119322
52,1133.92,1.38969,0.72139,1.0062,0.75745,0.67831,0.72075,0.42716,1.43612,0.77055,1.06745,0.0011885,0.0011885,0.0011885
53,1155.81,1.36276,0.71661,1.00807,0.89525,0.65284,0.7337,0.42601,1.41424,0.73688,1.05827,0.00118378,0.00118378,0.00118378
54,1177.67,1.35214,0.71267,0.99845,0.91197,0.61706,0.74968,0.44114,1.41074,0.71432,1.0607,0.00117907,0.00117907,0.00117907
55,1199.54,1.36034,0.70097,1.00249,0.76887,0.66767,0.7486,0.44538,1.40484,0.70507,1.06123,0.00117435,0.00117435,0.00117435
56,1221.27,1.35124,0.71489,0.99945,0.86592,0.69112,0.75988,0.44766,1.41591,0.7229,1.06176,0.00116964,0.00116964,0.00116964
57,1243.25,1.34682,0.71447,1.00487,0.85437,0.69125,0.7612,0.43999,1.39528,0.7149,1.05728,0.00116492,0.00116492,0.00116492
58,1265.16,1.37154,0.72232,1.00359,0.89658,0.6072,0.68988,0.41705,1.39542,0.82999,1.05512,0.00116021,0.00116021,0.00116021
59,1287.11,1.35213,0.70755,1.00276,0.79246,0.70388,0.74948,0.44885,1.38569,0.70213,1.05003,0.00115549,0.00115549,0.00115549
60,1308.89,1.36286,0.71079,1.00759,0.74811,0.70452,0.7492,0.44311,1.3967,0.71124,1.04989,0.00115077,0.00115077,0.00115077
61,1330.8,1.34037,0.70139,0.99825,0.92159,0.62605,0.74528,0.43846,1.40763,0.70015,1.06395,0.00114606,0.00114606,0.00114606
62,1352.72,1.33849,0.69573,0.99599,0.86208,0.63362,0.74447,0.43665,1.39916,0.71327,1.0478,0.00114134,0.00114134,0.00114134
63,1374.51,1.34025,0.70461,0.99409,0.89366,0.61386,0.73878,0.44204,1.38899,0.69878,1.0493,0.00113663,0.00113663,0.00113663
64,1396.35,1.33295,0.6995,0.99719,0.80307,0.68685,0.7595,0.46337,1.39345,0.70369,1.04731,0.00113191,0.00113191,0.00113191
65,1418.31,1.3422,0.69552,1.00121,0.82833,0.71348,0.78056,0.44896,1.40424,0.72832,1.0514,0.0011272,0.0011272,0.0011272
66,1440.23,1.33786,0.71133,0.99867,0.87785,0.64764,0.7513,0.45772,1.39238,0.71512,1.04997,0.00112248,0.00112248,0.00112248
67,1462.09,1.35142,0.70081,0.99712,0.75483,0.71142,0.724,0.43407,1.38708,0.70995,1.04683,0.00111776,0.00111776,0.00111776
68,1484.09,1.32054,0.68532,0.99047,0.84442,0.69723,0.76629,0.46058,1.38134,0.68893,1.0521,0.00111305,0.00111305,0.00111305
69,1506.06,1.3284,0.68284,0.9913,0.747,0.72954,0.76014,0.44458,1.38967,0.68825,1.04136,0.00110833,0.00110833,0.00110833
70,1527.92,1.34402,0.70476,0.9979,0.81725,0.69087,0.75339,0.44033,1.40597,0.71431,1.05065,0.00110362,0.00110362,0.00110362
71,1549.88,1.32755,0.69327,0.98804,0.80049,0.67751,0.74433,0.44629,1.41038,0.7373,1.05483,0.0010989,0.0010989,0.0010989
72,1571.75,1.33078,0.70634,0.99086,0.84931,0.65486,0.75788,0.46272,1.38497,0.70895,1.05072,0.00109419,0.00109419,0.00109419
73,1593.59,1.31922,0.68796,0.99258,0.85746,0.68211,0.76545,0.43935,1.39893,0.69841,1.05412,0.00108947,0.00108947,0.00108947
74,1615.31,1.34201,0.69828,0.99536,0.82736,0.66737,0.74335,0.43913,1.388,0.70629,1.0465,0.00108475,0.00108475,0.00108475
75,1637.2,1.32351,0.689,0.98808,0.81375,0.67693,0.75721,0.44429,1.39485,0.6976,1.04871,0.00108004,0.00108004,0.00108004
76,1659.04,1.32057,0.68191,0.9942,0.85735,0.6296,0.74381,0.45283,1.38117,0.70161,1.05049,0.00107532,0.00107532,0.00107532
77,1680.83,1.32564,0.68587,0.99273,0.85046,0.65392,0.75656,0.44409,1.40918,0.70776,1.05744,0.00107061,0.00107061,0.00107061
78,1702.69,1.32383,0.69484,0.99664,0.77418,0.73694,0.7619,0.45619,1.3871,0.72077,1.04826,0.00106589,0.00106589,0.00106589
79,1724.41,1.33233,0.6861,0.99396,0.86799,0.65492,0.80129,0.47744,1.37631,0.69379,1.0449,0.00106118,0.00106118,0.00106118
80,1746.27,1.33812,0.69701,0.99526,0.90827,0.68112,0.78845,0.46628,1.40135,0.72698,1.05339,0.00105646,0.00105646,0.00105646
81,1768.08,1.31236,0.68644,0.98633,0.79811,0.71207,0.76967,0.46935,1.38862,0.69881,1.05378,0.00105174,0.00105174,0.00105174
82,1790.06,1.30599,0.67956,0.98394,0.86375,0.69728,0.78472,0.47308,1.39005,0.70154,1.05126,0.00104703,0.00104703,0.00104703
83,1812.05,1.30057,0.67207,0.99016,0.74906,0.71666,0.76301,0.45666,1.39787,0.7096,1.05532,0.00104231,0.00104231,0.00104231
84,1834.07,1.32279,0.68357,0.98818,0.89385,0.68876,0.78124,0.47359,1.39144,0.714,1.05397,0.0010376,0.0010376,0.0010376
85,1856.08,1.30423,0.67675,0.98777,0.84131,0.70614,0.78446,0.46754,1.40599,0.70913,1.05825,0.00103288,0.00103288,0.00103288
86,1878.08,1.32879,0.68819,0.99685,0.82479,0.68268,0.76616,0.4608,1.3892,0.69625,1.04939,0.00102817,0.00102817,0.00102817
87,1899.84,1.30986,0.67912,0.98672,0.79361,0.76246,0.78606,0.48082,1.38816,0.69544,1.04696,0.00102345,0.00102345,0.00102345
88,1921.75,1.29285,0.66005,0.98452,0.84766,0.7006,0.79003,0.48064,1.4051,0.69913,1.05905,0.00101873,0.00101873,0.00101873
89,1943.67,1.3118,0.67725,0.98804,0.80036,0.76089,0.80741,0.48494,1.38819,0.69788,1.05274,0.00101402,0.00101402,0.00101402
90,1965.57,1.31109,0.67284,0.98529,0.82449,0.70347,0.76822,0.46748,1.37932,0.70638,1.0502,0.0010093,0.0010093,0.0010093
91,1987.49,1.30718,0.67524,0.98518,0.89554,0.68846,0.79431,0.47874,1.38723,0.70995,1.04929,0.00100459,0.00100459,0.00100459
92,2009.36,1.2953,0.66881,0.98576,0.82013,0.70595,0.77737,0.46558,1.37365,0.70589,1.04803,0.000999871,0.000999871,0.000999871
93,2031.13,1.29639,0.67179,0.98673,0.89057,0.67463,0.78065,0.47466,1.38016,0.70153,1.04593,0.000995156,0.000995156,0.000995156
94,2052.9,1.29682,0.66329,0.98148,0.81557,0.75571,0.80413,0.49276,1.37721,0.69566,1.04458,0.00099044,0.00099044,0.00099044
95,2074.82,1.31651,0.66993,0.98757,0.90026,0.66299,0.78777,0.47419,1.38444,0.69133,1.04776,0.000985724,0.000985724,0.000985724
96,2096.66,1.29478,0.66421,0.98399,0.89095,0.69304,0.79992,0.48559,1.37467,0.68218,1.04713,0.000981008,0.000981008,0.000981008
97,2118.56,1.31948,0.67517,0.98378,0.87721,0.70313,0.79089,0.47074,1.39026,0.69162,1.04741,0.000976293,0.000976293,0.000976293
98,2140.43,1.30093,0.6636,0.98456,0.82587,0.7539,0.80172,0.48889,1.37589,0.68102,1.04429,0.000971577,0.000971577,0.000971577
99,2162.42,1.2872,0.66696,0.97637,0.85859,0.68347,0.78419,0.4691,1.38296,0.695,1.04894,0.000966861,0.000966861,0.000966861
100,2184.37,1.30349,0.67347,0.98146,0.86204,0.66339,0.77111,0.46964,1.3968,0.70045,1.05472,0.000962146,0.000962146,0.000962146
101,2206.06,1.29625,0.66448,0.98632,0.87298,0.67913,0.775,0.47437,1.39249,0.71401,1.05114,0.00095743,0.00095743,0.00095743
102,2227.77,1.29439,0.65772,0.98184,0.89142,0.70418,0.78449,0.48373,1.37617,0.69019,1.04203,0.000952714,0.000952714,0.000952714
103,2249.51,1.28676,0.66838,0.98453,0.87631,0.70194,0.79465,0.47877,1.37026,0.69179,1.04439,0.000947999,0.000947999,0.000947999
