datetime_start,datetime_end,ocr_raw,count_of_car,count_of_motorcycle,count_of_heavy,cluster
2025-11-03 06:05:00,2025-11-03 06:06:00,06:06,5,82,0,1
2025-11-03 06:06:00,2025-11-03 06:07:00,06:07,11,49,0,1
2025-11-03 06:07:00,2025-11-03 06:08:00,06:08,11,79,1,0
2025-11-03 06:08:00,2025-11-03 06:09:00,06:09,7,48,0,1
2025-11-03 06:09:00,2025-11-03 06:10:00,06:10,13,97,0,0
2025-11-03 07:00:00,2025-11-03 07:01:00,07:01,14,73,0,0
2025-11-03 07:01:00,2025-11-03 07:02:00,07:02,20,28,0,1
2025-11-03 07:02:00,2025-11-03 07:03:00,07:03,15,113,0,0
2025-11-03 07:03:00,2025-11-03 07:04:00,07:04,12,40,0,1
2025-11-03 07:04:00,2025-11-03 07:05:00,07:05,12,76,0,0
2025-11-03 07:05:00,2025-11-03 07:06:00,07:06,22,55,0,0
2025-11-03 07:06:00,2025-11-03 07:07:00,07:07,5,26,0,1
2025-11-03 07:07:00,2025-11-03 07:08:00,07:08,21,100,0,0
2025-11-03 07:08:00,2025-11-03 07:09:00,07:09,14,53,0,1
2025-11-03 07:09:00,2025-11-03 07:10:00,07:10,8,22,0,1
2025-11-03 08:00:00,2025-11-03 08:01:00,08:01,8,64,0,1
2025-11-03 08:01:00,2025-11-03 08:02:00,08:02,26,125,0,0
2025-11-03 08:02:00,2025-11-03 08:03:00,08:03,25,70,1,0
2025-11-03 08:03:00,2025-11-03 08:04:00,08:04,15,108,0,0
2025-11-03 08:04:00,2025-11-03 08:05:00,08:05,27,92,0,0
2025-11-03 08:05:00,2025-11-03 08:06:00,08:06,11,48,2,0
2025-11-03 08:06:00,2025-11-03 08:07:00,08:07,21,88,2,0
2025-11-03 08:07:00,2025-11-03 08:08:00,08:08,45,88,1,0
2025-11-03 08:08:00,2025-11-03 08:09:00,08:09,13,73,0,0
2025-11-03 08:09:00,2025-11-03 08:10:00,08:10,27,106,0,0
2025-11-03 09:00:00,2025-11-03 09:01:00,09:01,27,76,0,0
2025-11-03 09:01:00,2025-11-03 09:02:00,09:02,7,29,0,1
